Chloride_Lekhaven,Chloride_Lekhaven_T_12h,Chloride_Lekhaven_T_24h,Debiet_Lobith_T_30h,Waterstand_Hoek_van_Holland,delH_HvH_Spuihaven,delH_HvH_Spuihaven_T_12h,delH_HvH_Spuihaven_T_24h,U_matrix,X,Y,XY,Hits
336.89232217285155,354.5126007014161,357.9305640659179,2320.9504714053346,-0.45630429891133306,-0.5092968516412377,-0.501520527898252,-0.506055517721802,0.09106761287931783,5,7,425,45
328.53026212402347,343.54864553125003,346.17297059082034,2322.3255039645387,-0.438892945953846,-0.4938708386858702,-0.4895637901469767,-0.4913433527702689,0.08237941522258181,6,7,426,50
320.6906860156249,333.14198323193364,335.79657859619147,2323.7155916247557,-0.42409580767583854,-0.48075900582045317,-0.479359177995503,-0.4790205800181925,0.07857213807116743,7,7,427,48
312.2927124365234,322.3958473127441,325.5140434135742,2327.4482530026244,-0.4129885768201351,-0.468458052234292,-0.4688464243966937,-0.46732274531883006,0.0774326293792598,8,7,428,40
303.28768434570304,311.7134351105957,315.5663800664063,2334.356537020874,-0.40643663011384,-0.45652883345896006,-0.45752720940655467,-0.4555155301347971,0.07743477689047881,9,7,429,58
294.0845525878906,301.6694186918945,306.29077784228514,2344.114249824219,-0.4045531631195546,-0.444841111418128,-0.4455560938995182,-0.4432531615309715,0.07807574019085681,10,7,430,44
285.0505619726563,292.2927633825684,297.4566502524415,2355.634413119507,-0.40700930588912965,-0.4331465175189972,-0.4331928577808142,-0.43025941296994685,0.07899124392819576,11,7,431,62
276.42899770507813,283.23125081933586,288.6306337451173,2367.4817739434816,-0.41287404166507724,-0.4210850972792506,-0.4207034895320237,-0.41651697947952154,0.07950697488838696,12,7,432,54
268.38320842285157,274.26126868603524,279.6574590263672,2378.4077625854493,-0.4207059689638615,-0.4084677109799981,-0.40826869140169025,-0.40244118039253357,0.07915166887083547,13,7,433,58
260.8436840673828,265.4314787302246,270.6425701689452,2388.0279721328734,-0.42954459999394423,-0.39542426946622133,-0.39577115397349,-0.38855638901758194,0.07830852452766153,14,7,434,67
253.4176928076172,256.82993554272457,261.71458576708983,2397.085120902405,-0.43944150906491286,-0.3821838346812129,-0.3827422931164801,-0.3749919028828144,0.0777781136580112,15,7,435,92
245.75420884765617,248.52383867968751,252.98590224999998,2406.9411936990355,-0.4504697039656639,-0.36884523049193624,-0.36872300094783306,-0.3614747605399191,0.0777133680152023,16,7,436,87
237.99688630859373,240.70435929223618,244.63496343310544,2418.798591257019,-0.46148316334939,-0.35542939970463516,-0.3537841859448254,-0.3477786913146377,0.07749358997466418,17,7,437,87
230.7110736669922,233.62291640942385,236.80081644531242,2433.1882568054198,-0.4703157662134171,-0.3419886993349195,-0.3385865713381171,-0.33403201320838927,0.07670828664897707,18,7,438,103
224.2999292626953,227.2737169660645,229.34441415771494,2449.8853675024416,-0.47515839294481277,-0.3285758136297464,-0.32383564746153354,-0.32058082566520574,0.07569472278412526,19,7,439,102
218.67424852050772,221.33350792480474,221.9332021870116,2468.2154548226927,-0.47529369178295133,-0.3152290286567807,-0.309819296197474,-0.30768470326811076,0.07495265576949758,20,7,440,107
213.60348974609383,215.532332447998,214.5243076684569,2487.4920061599732,-0.47047383812332155,-0.3020638570817113,-0.2965332695726454,-0.2953994790406227,0.07460280463990318,21,7,441,105
209.19191802734372,210.00690687402357,207.6843476523436,2507.32459256134,-0.46021858807015414,-0.28928907250428204,-0.28400174835810066,-0.2836644223255813,0.07460695783647439,22,7,442,95
205.8670202246094,205.21951780468748,202.29858885937506,2527.659015663147,-0.44411869612789157,-0.27705454688167575,-0.2723090384853482,-0.27239627335107325,0.07506175846788998,23,7,443,112
203.97171262695315,201.5884245463867,198.96609266992186,2548.62876402771,-0.4225820681996345,-0.26529614286977055,-0.2614205026336909,-0.2614934878462553,0.07607681094283618,24,7,444,112
203.49556872558583,199.23064701586918,197.63239895849597,2570.353274789734,-0.39681500729274743,-0.2537337504350543,-0.2510812624055445,-0.2507856281603873,0.07766295681650706,25,7,445,84
204.06670970703112,197.92257289697272,197.64166876708987,2592.8184965216064,-0.36801577885985376,-0.24199661646074055,-0.24086848107466102,-0.24000267142534257,0.07977085219087765,26,7,446,87
205.09430007324227,197.2135017182618,198.0437467148438,2615.872874539795,-0.33698746857881545,-0.22978565149515867,-0.23028024425810578,-0.2287897024565339,0.08214155210494013,27,7,447,73
205.92262827148443,196.6202918432616,197.98349295898447,2639.2986117163086,-0.30490021046066285,-0.21701610261929033,-0.2188231335195303,-0.2167823373109996,0.08423064819070901,28,7,448,53
205.97476081542982,195.78840768261716,197.03797248242176,2662.8227088861086,-0.27411637580299375,-0.2037992284913063,-0.2061089494533837,-0.2037330822353661,0.08571236526384529,29,7,449,53
204.8174183398437,194.49191969409185,195.30220082324217,2686.1109428067016,-0.24720798212289813,-0.1901720062534809,-0.19198019028064608,-0.1896161430257857,0.08693682252309627,30,7,450,69
202.30347122070316,192.5952701523438,193.18636701171886,2708.882284925842,-0.2247041684408188,-0.17591879044777153,-0.17665415617361663,-0.1746499541426897,0.08830428367574845,31,7,451,69
198.83607779785166,190.25718904345695,191.13889803857433,2731.071496472473,-0.20451717991280555,-0.16090312560224534,-0.1607830744163692,-0.15928379184550046,0.08947208701503283,32,7,452,56
195.43008492675767,188.16241667236318,189.54796713867177,2752.872286412964,-0.18367981924700738,-0.14554812184929847,-0.14528548754173518,-0.14411647347417475,0.08987826733999414,33,7,453,56
193.33667366210943,187.32589805957036,188.85041404199205,2774.7654143063355,-0.15965757751512527,-0.13072323287940024,-0.1309593609944582,-0.12967204582840203,0.08983506685086133,34,7,454,65
193.5614228515626,188.58299320483388,189.64645885498044,2797.5849327487185,-0.12982954207539557,-0.11712873377633094,-0.11815662302350997,-0.1162306535525024,0.09060796159854356,35,7,455,62
196.55846487792974,192.16194887646475,192.4621632153321,2822.3023975921633,-0.09116689438295364,-0.10496358119940757,-0.10673447637280822,-0.10387163831147551,0.09316541761879635,36,7,456,51
201.93738491210934,197.4649207473144,197.1445752812499,2849.3925463552855,-0.04165957595634459,-0.09405957823598385,-0.09621191975870728,-0.09254308518871665,0.09691396686707358,37,7,457,50
208.37517483886722,203.19773805493173,202.51874681347658,2878.2190501019286,0.018107681097030648,-0.08404400838118792,-0.08599652429041266,-0.08199913297539949,0.10017911749086225,38,7,458,51
214.17231372558604,208.0001890937499,206.9381280605469,2907.210156286316,0.08531235547065735,-0.07430429455238581,-0.07552036861535907,-0.07173957002222538,0.10194349851713902,39,7,459,46
218.0324389794921,211.02301050756842,209.21965970068368,2934.8192041976927,0.15651772271656988,-0.06393695099896192,-0.0641779531556964,-0.06107709507477284,0.10251235536741934,40,7,460,49
219.30099754882804,211.9371561938476,209.01340645947266,2960.309497559814,0.22851545890069008,-0.05198417156660558,-0.0512791456348896,-0.04927575705111027,0.1026327400875229,41,7,461,40
217.892260361328,210.87354942578122,206.6414941855469,2983.818539628601,0.29837989409732824,-0.03789980713623761,-0.036316803395181896,-0.035675028427392244,0.10258426482381917,42,7,462,38
214.4445614550782,208.5505302863769,202.97528488671878,3005.8551928182983,0.36361000918960573,-0.02175519414162637,-0.019344843020677557,-0.019858936852961778,0.10209906452741702,43,7,463,51
210.24151991210942,205.9309062094726,199.16307610253898,3026.5981109942627,0.4221897175300121,-0.003907014751613147,-0.0009707246922850549,-0.0019048649393618167,0.10092219812213003,44,7,464,44
206.42194219238286,203.29853738916017,195.91980182080079,3045.66589826416,0.4728852544658184,0.015418941403985031,0.018145155126512047,0.017611878614932297,0.09946727362954359,45,7,465,49
203.1213729101562,199.9246562250978,192.93955835791007,3062.6811734292605,0.5158124947445393,0.036191587347149834,0.03786718805751205,0.038163328903317445,0.09875368251471428,46,7,466,53
199.4987403564453,194.82675886181642,189.16674626025406,3077.8818070855714,0.5519366147313118,0.05847571488469838,0.05871133947223425,0.05985560132136941,0.0995485974587486,47,7,467,53
194.5183446582032,187.6897025532228,183.63267052978517,3092.0586938729857,0.5816601619594097,0.08237047511494161,0.08138081233426928,0.08325453580918907,0.10169190389665017,48,7,468,36
187.66001887695302,179.04413207031257,176.09631614306636,3106.0599378152465,0.6046187672805786,0.10788830282908676,0.10613440624731779,0.10854722197189925,0.10421669226123983,49,7,469,28
179.05814912597657,169.74857967358412,167.11966524609375,3120.401427040405,0.6211781394355297,0.1347693763371706,0.13261104348146915,0.13503362470760943,0.1060581402507027,50,7,470,38
169.24912135742193,160.58510916308592,157.7513649360351,3135.2929292892454,0.6338654195940494,0.16242206136280296,0.16016176442441343,0.16160067514395715,0.10705549992361715,51,7,471,27
158.9349871630859,152.20833690478526,149.0504908447267,3151.5203208346556,0.6475239042837619,0.19040361389273402,0.18844869181576374,0.1878536240094006,0.11006062178947511,52,7,472,29
148.62664547363283,144.7955306933593,141.4341843588868,3173.8440246170044,0.6693760062355995,0.22046439440506693,0.21921284117132422,0.21610088929384946,0.12455432684606363,53,7,473,19
137.93947396484373,137.11624348339842,134.0229723881837,3218.0598526193235,0.7103869595048428,0.2604491199948788,0.25987770920431613,0.2546808555271924,0.16110016456639475,54,7,474,26
125.83082175781237,126.90306956127915,125.14828938574215,3307.7230158868406,0.780258092663765,0.3216515261605382,0.32073711550536754,0.31477710587638613,0.201431375870804,55,7,475,15
113.50900537109374,114.8940454316405,115.40456182763683,3432.238737999878,0.8643697634348869,0.3961712664778828,0.3931719222628475,0.38788310372316837,0.20005342185769331,56,7,476,13
104.29313010253895,105.30072948437487,107.82301712402364,3539.209245392151,0.9298671272222996,0.45620185718792683,0.4503362453332841,0.4461437209833562,0.1539815834975896,57,7,477,17
98.91073456542972,99.6223669895021,103.34917575146483,3605.4346274023437,0.9677735749728679,0.49198787735718486,0.483734464897722,0.48030014451128245,0.10545751220422117,58,7,478,10
96.03070113769536,96.61692477124029,100.96335876464832,3641.6903216622923,0.9876357123301029,0.5110929523531794,0.50122108357504,0.4981624674213231,0.07992162368336136,59,7,479,201
439.7139178466797,475.16129348168954,496.38674267431634,2167.7577928823853,-0.5351245794780254,-0.6027672137585283,-0.5854722437875867,-0.5954921851843298,0.07893652911231064,0,8,480,245
432.68297541992183,465.4579092958985,484.86437059228524,2175.849407840271,-0.5244774986312389,-0.5913936338113546,-0.5752133882848323,-0.5848907674029469,0.08193084451460343,1,8,481,27
421.1234526757813,450.1445207844238,466.48234015087894,2187.5381882669067,-0.509161938072443,-0.5735699967724085,-0.5588511754614711,-0.5679250379582941,0.09475663233198381,2,8,482,39
405.04577612304683,429.64981477099616,441.6890783408204,2201.361782017212,-0.4902046954197884,-0.5496392410939336,-0.5367796865322292,-0.5446629107035399,0.10095445650626882,3,8,483,29
388.12818636230463,408.663856829834,416.41610393603514,2212.938151022949,-0.47126821645021433,-0.524766386365831,-0.5143592102586032,-0.5201613556284607,0.09483827280083622,4,8,484,39
374.622381977539,391.89177450463865,396.88925213330083,2219.313484465332,-0.45489973622035984,-0.5044950588471293,-0.49724216525778175,-0.5003843844733238,0.08251430978459325,5,8,485,52
364.59208052246083,378.9489082670899,382.8454921137695,2222.0605385635376,-0.4407214896574021,-0.4890163616448045,-0.4851442640863061,-0.4859079589544237,0.07340223697338288,6,8,486,49
355.7144875390625,367.23301323583985,370.94074042724606,2224.1652416851807,-0.42860487588548657,-0.4759051832420826,-0.47480012235051394,-0.4741327416435182,0.06955565592706572,7,8,487,71
346.4186757031249,355.43833251806643,359.37317802832035,2227.5747202279663,-0.41959008844733237,-0.46361110151422025,-0.4641239851635099,-0.46307355837106706,0.06873419780337771,8,8,488,74
336.45440880371086,343.6807274174805,348.07096390039067,2233.0778614849855,-0.41454786243987085,-0.4516154547753334,-0.4526165522797704,-0.4518612424200773,0.06925408459133191,9,8,489,60
326.2341131884765,332.40626395336903,337.2948114101563,2240.6445552542114,-0.4137045889883041,-0.43973303008270265,-0.44046800219595433,-0.4400696996636987,0.07053113014919592,10,8,490,66
316.14241118164057,321.70299671655266,326.9195781416016,2249.865302788086,-0.4167280491633415,-0.42773607441842554,-0.4279717718364596,-0.4273890731468499,0.07218132713515307,11,8,491,70
306.3600289355468,311.387864847168,316.68570945410147,2260.241278406372,-0.42255326696181295,-0.41537392857027056,-0.41537914515992996,-0.4138059760042429,0.07348144507063048,12,8,492,39
297.00976755371096,301.3948274020996,306.55149120898443,2271.1692743951417,-0.4297073604774475,-0.4026047069257498,-0.4028450098079741,-0.39975988922801614,0.07385289352051949,13,8,493,43
288.1321745703126,291.7980356157226,296.617732574707,2282.042068346863,-0.43741738486266135,-0.3896348924651742,-0.3902857133834362,-0.3858084900355339,0.0735769584696648,14,8,494,67
279.4874402832031,282.53955883618164,286.87168756445317,2292.7392194534305,-0.44592714594459537,-0.3766418445789218,-0.3773290680724084,-0.37212939927354455,0.07342800532389357,15,8,495,86
270.73612390625,273.4270672993164,277.2252929965821,2303.915122772217,-0.45538131970858575,-0.3636023298413158,-0.36359733101898434,-0.35851365123999124,0.0736293261002865,16,8,496,85
261.8770669384767,264.4675126833497,267.737643900879,2316.561407623291,-0.4647926265139579,-0.3504450118185878,-0.3491385369980931,-0.3447571778664589,0.07369793698160058,17,8,497,81
253.36671876464834,255.95402408666996,258.60919988818364,2331.236116417542,-0.47237873859691626,-0.33720065025740864,-0.3344709387514889,-0.3309151591586471,0.073273794663035,18,8,498,101
245.6893327929688,248.1414963774414,249.90253216650376,2347.7124189663696,-0.4766292654623985,-0.3239474534498453,-0.32013533595609667,-0.31722398756700754,0.07256068893935484,19,8,499,127
238.97350263183603,240.9963297775878,241.45194290722657,2365.3409385794066,-0.4767056222324372,-0.310756103366971,-0.30633171012386684,-0.30393180986273294,0.07194074846101838,20,8,500,133
