,WSO1_ID,station,som_key,Country,lon,lat
66864,481622,CALDAS DE NOCEDO,2362,Spain,-5.3989968330463585,42.89980088800521
66869,482374,"ROBLA, LA",2189,Spain,-5.630379176433709,42.81034222056254
66870,482374,"ROBLA, LA",2307,Spain,-5.630379176433709,42.81034222056254
66871,482374,"ROBLA, LA",2308,Spain,-5.630379176433709,42.81034222056254
66873,482374,"ROBLA, LA",2248,Spain,-5.630379176433709,42.81034222056254
66876,482374,"ROBLA, LA",2695,Spain,-5.630379176433709,42.81034222056254
66877,482374,"ROBLA, LA",2076,Spain,-5.630379176433709,42.81034222056254
66880,482374,"ROBLA, LA",2077,Spain,-5.630379176433709,42.81034222056254
66882,482374,"ROBLA, LA",2017,Spain,-5.630379176433709,42.81034222056254
66917,482374,"ROBLA, LA",2363,Spain,-5.630379176433709,42.81034222056254
66922,490074,SAHAGUN,1350,Spain,-5.036759282754535,42.37231936844887
66923,490074,SAHAGUN,1467,Spain,-5.036759282754535,42.37231936844887
66924,490074,SAHAGUN,1408,Spain,-5.036759282754535,42.37231936844887
66925,490074,SAHAGUN,1409,Spain,-5.036759282754535,42.37231936844887
66926,490074,SAHAGUN,1469,Spain,-5.036759282754535,42.37231936844887
66929,490074,SAHAGUN,1410,Spain,-5.036759282754535,42.37231936844887
66944,490074,SAHAGUN,1591,Spain,-5.036759282754535,42.37231936844887
66952,490074,SAHAGUN,1470,Spain,-5.036759282754535,42.37231936844887
66978,496225,CASTROPEPE,1008,Spain,-5.635313244296298,41.976179029208815
66979,496225,CASTROPEPE,1467,Spain,-5.635313244296298,41.976179029208815
66980,496225,CASTROPEPE,1409,Spain,-5.635313244296298,41.976179029208815
66982,496225,CASTROPEPE,1350,Spain,-5.635313244296298,41.976179029208815
66983,496225,CASTROPEPE,1408,Spain,-5.635313244296298,41.976179029208815
67024,496225,CASTROPEPE,1410,Spain,-5.635313244296298,41.976179029208815
67033,484036,VILLAMECA,1709,Spain,-6.07124954105939,42.64714488947547
67034,484036,VILLAMECA,1888,Spain,-6.07124954105939,42.64714488947547
67040,484036,VILLAMECA,1710,Spain,-6.07124954105939,42.64714488947547
67041,484036,VILLAMECA,1650,Spain,-6.07124954105939,42.64714488947547
67043,484036,VILLAMECA,1769,Spain,-6.07124954105939,42.64714488947547
67050,484036,VILLAMECA,1828,Spain,-6.07124954105939,42.64714488947547
67051,484036,VILLAMECA,1829,Spain,-6.07124954105939,42.64714488947547
67057,484036,VILLAMECA,1649,Spain,-6.07124954105939,42.64714488947547
67061,484036,VILLAMECA,1768,Spain,-6.07124954105939,42.64714488947547
67089,480390,CAMPOSOLILLO,2370,Spain,-5.258369944060119,42.99076450129563
